,fcw,hmw,ldw,pcw,Alert,Lat,Long,Vehicle,Speed,Time-Hour,Time-Min,Time-Sec,Date-Year,Date-Month,Date-Day
0,0,0,1,0,cas_ldw,12.887403,80.083412,2846,48,05,36,36,2022,06,01
1,0,0,1,0,cas_ldw,12.892586,80.085794,2846,58,05,36,47,2022,06,01
2,0,0,1,0,cas_ldw,12.894932,80.087564,2846,57,05,37,04,2022,06,01
3,0,0,1,0,cas_ldw,12.898267,80.090062,2846,49,05,37,31,2022,06,01
4,0,0,1,0,cas_ldw,12.901594,80.092538,2846,58,05,38,08,2022,06,01
5,0,0,1,0,cas_ldw,12.903877,80.094272,2846,54,05,38,21,2022,06,01
6,0,0,1,0,cas_ldw,12.906194,80.095953,2846,58,05,38,41,2022,06,01
7,0,0,1,0,cas_ldw,12.915664,80.103135,2846,62,05,40,21,2022,06,01
8,0,0,1,0,cas_ldw,12.918451,80.109058,2846,51,05,41,17,2022,06,01
9,0,0,1,0,cas_ldw,12.919239,80.110028,2846,47,05,41,25,2022,06,01
10,0,0,1,0,cas_ldw,12.923053,80.114106,2846,57,05,41,58,2022,06,01
11,0,1,0,0,cas_hmw,12.92877,80.119872,2846,42,05,43,03,2022,06,01
12,0,1,0,0,cas_hmw,12.932561,80.123647,2846,38,05,44,06,2022,06,01
13,0,1,0,0,cas_hmw,12.936615,80.127451,2846,27,05,45,13,2022,06,01
14,0,0,1,0,cas_ldw,12.957073,80.14356,2846,39,06,04,38,2022,06,01
15,0,0,1,0,cas_ldw,12.87899,80.080324,805,13,06,05,10,2022,06,01
16,0,0,1,0,cas_ldw,12.873922,80.078184,805,59,06,06,41,2022,06,01
17,0,0,1,0,cas_ldw,12.86711,80.075508,805,58,06,07,12,2022,06,01
18,0,0,1,0,cas_ldw,12.855921,80.069229,805,58,06,07,50,2022,06,01
19,0,0,1,0,cas_ldw,12.852359,80.066607,805,58,06,08,17,2022,06,01
20,0,0,1,0,cas_ldw,12.849964,80.064909,805,58,06,08,36,2022,06,01
21,0,0,1,0,cas_ldw,12.845798,80.061731,805,45,06,09,18,2022,06,01
22,0,0,1,0,cas_ldw,12.980898,80.165679,2846,53,06,09,56,2022,06,01
23,0,0,1,0,cas_ldw,12.980898,80.165679,2846,53,06,10,08,2022,06,01
24,0,0,1,0,cas_ldw,12.841731,80.057609,805,58,06,10,17,2022,06,01
25,0,0,1,0,cas_ldw,12.831583,80.046907,805,58,06,11,44,2022,06,01
26,0,0,1,0,cas_ldw,12.822942,80.038928,805,58,06,12,59,2022,06,01
27,0,0,1,0,cas_ldw,12.992264,80.182428,2846,54,06,13,08,2022,06,01
28,0,0,1,0,cas_ldw,12.820537,80.037237,805,57,06,13,23,2022,06,01
29,0,0,1,0,cas_ldw,12.818145,80.035529,805,57,06,14,04,2022,06,01
30,0,1,0,0,cas_hmw,12.815835,80.033858,805,45,06,14,53,2022,06,01
31,0,0,1,0,cas_ldw,12.814768,80.033094,805,61,06,15,07,2022,06,01
32,0,1,0,0,cas_hmw,12.803876,80.026072,805,58,06,15,35,2022,06,01
33,0,1,0,0,cas_hmw,12.803876,80.026072,805,58,06,15,38,2022,06,01
34,0,0,1,0,cas_ldw,12.801438,80.02447,805,58,06,15,58,2022,06,01
35,0,0,1,0,cas_ldw,12.800221,80.023653,805,56,06,16,08,2022,06,01
36,0,0,1,0,cas_ldw,12.797784,80.022085,805,58,06,16,26,2022,06,01
37,0,1,0,0,cas_hmw,12.796555,80.021272,805,58,06,16,37,2022,06,01
38,0,1,0,0,cas_hmw,12.795046,80.020296,805,0,06,16,46,2022,06,01
39,0,0,1,0,cas_ldw,12.793592,80.019323,805,59,06,17,00,2022,06,01
40,0,0,1,0,cas_ldw,12.790001,80.017028,805,57,06,17,27,2022,06,01
41,0,0,1,0,cas_ldw,12.781964,80.012667,805,58,06,18,37,2022,06,01
42,0,1,0,0,cas_hmw,12.779812,80.01172,805,58,06,18,55,2022,06,01
43,0,1,0,0,cas_hmw,12.777725,80.010838,805,48,06,19,10,2022,06,01
44,0,0,1,0,cas_ldw,13.010352,80.215922,2846,50,06,19,23,2022,06,01
45,0,0,1,0,cas_ldw,13.010352,80.215922,2846,50,06,19,42,2022,06,01
46,0,0,1,0,cas_ldw,12.770133,80.007326,805,46,06,20,11,2022,06,01
47,0,1,0,0,cas_hmw,13.012897,80.221989,2846,49,06,20,31,2022,06,01
48,0,0,1,0,cas_ldw,12.766036,80.005408,805,58,06,20,42,2022,06,01
49,0,0,1,0,cas_ldw,12.763868,80.004497,805,58,06,21,03,2022,06,01
50,0,1,0,0,cas_hmw,12.757137,80.002432,805,58,06,21,48,2022,06,01
51,0,0,1,0,cas_ldw,12.753059,80.000121,805,57,06,22,20,2022,06,01
52,0,0,1,0,cas_ldw,12.751096,79.998814,805,58,06,22,40,2022,06,01
53,0,0,1,0,cas_ldw,12.749247,79.997342,805,58,06,22,59,2022,06,01
54,0,0,1,0,cas_ldw,12.74555,79.994405,805,58,06,23,20,2022,06,01
55,0,0,1,0,cas_ldw,12.74555,79.994405,805,58,06,23,26,2022,06,01
56,0,0,1,0,cas_ldw,12.741998,79.991535,805,58,06,23,52,2022,06,01
57,0,0,1,0,cas_ldw,13.024305,80.228471,2846,0,06,24,57,2022,06,01
58,1,0,0,0,cas_fcw,12.724588,79.982251,805,33,06,26,32,2022,06,01
59,0,0,1,0,cas_ldw,12.722392,79.981537,805,45,06,27,01,2022,06,01
60,0,1,0,0,cas_hmw,13.031173,80.239814,2846,28,06,27,15,2022,06,01
61,0,0,1,0,cas_ldw,12.711256,79.978734,805,58,06,28,19,2022,06,01
62,0,0,1,0,cas_ldw,12.709089,79.977492,805,58,06,28,54,2022,06,01
63,0,1,0,0,cas_hmw,12.709089,79.977492,805,58,06,29,02,2022,06,01
64,0,0,1,0,cas_ldw,12.705469,79.97456,805,58,06,29,33,2022,06,01
65,0,0,1,0,cas_ldw,12.701326,79.969416,805,58,06,29,53,2022,06,01
66,0,1,0,0,cas_hmw,13.039036,80.246748,2846,17,06,30,10,2022,06,01
67,0,1,0,0,cas_hmw,12.697469,79.9672,805,60,06,30,21,2022,06,01
68,0,1,0,0,cas_hmw,12.697469,79.9672,805,60,06,30,23,2022,06,01
69,0,0,1,0,cas_ldw,12.693691,79.965188,805,57,06,30,44,2022,06,01
70,0,1,0,0,cas_hmw,13.042432,80.247439,2846,37,06,30,49,2022,06,01
71,0,1,0,0,cas_hmw,12.685681,79.959317,805,23,06,31,59,2022,06,01
72,0,1,0,0,cas_hmw,12.684891,79.959075,805,21,06,32,11,2022,06,01
73,0,1,0,0,cas_hmw,12.684891,79.959075,805,21,06,32,19,2022,06,01
74,0,1,0,0,cas_hmw,13.053062,80.251879,2846,56,06,32,21,2022,06,01
75,0,0,1,0,cas_ldw,12.682063,79.958519,805,57,06,33,01,2022,06,01
76,0,0,1,0,cas_ldw,12.677238,79.958585,805,58,06,33,29,2022,06,01
77,0,0,1,0,cas_ldw,12.672678,79.958665,805,58,06,33,49,2022,06,01
78,0,0,0,1,cas_pcw,13.060628,80.25437,2846,42,06,34,05,2022,06,01
79,1,0,0,0,cas_fcw,13.061608,80.254414,2846,26,06,34,09,2022,06,01
80,1,0,0,0,cas_fcw,13.061608,80.254414,2846,26,06,34,11,2022,06,01
81,0,0,1,0,cas_ldw,12.668296,79.958761,805,58,06,34,26,2022,06,01
82,0,0,1,0,cas_ldw,12.668296,79.958761,805,58,06,34,35,2022,06,01
83,0,0,1,0,cas_ldw,12.664172,79.960529,805,57,06,34,54,2022,06,01
84,0,0,1,0,cas_ldw,12.661947,79.961164,805,57,06,35,10,2022,06,01
85,0,0,1,0,cas_ldw,12.658153,79.95926,805,59,06,35,43,2022,06,01
86,0,1,0,0,cas_hmw,12.655738,79.952993,805,58,06,36,28,2022,06,01
87,0,0,1,0,cas_ldw,12.656157,79.950818,805,58,06,36,49,2022,06,01
88,0,0,1,0,cas_ldw,12.657324,79.946719,805,44,06,37,21,2022,06,01
89,0,0,1,0,cas_ldw,12.657324,79.946719,805,44,06,37,29,2022,06,01
90,0,0,1,0,cas_ldw,12.656077,79.941901,805,58,06,37,51,2022,06,01
91,0,0,1,0,cas_ldw,12.653916,79.942239,805,58,06,38,16,2022,06,01
92,0,0,1,0,cas_ldw,12.651766,79.941969,805,57,06,38,26,2022,06,01
93,0,1,0,0,cas_hmw,12.630791,79.931575,805,58,06,41,23,2022,06,01
94,1,0,0,0,cas_fcw,12.630791,79.931575,805,58,06,41,35,2022,06,01
95,0,0,1,0,cas_ldw,12.628494,79.930584,805,58,06,42,00,2022,06,01
96,0,0,1,0,cas_ldw,12.624184,79.928729,805,57,06,42,58,2022,06,01
97,0,0,1,0,cas_ldw,12.624184,79.928729,805,57,06,43,12,2022,06,01
98,0,0,1,0,cas_ldw,12.622224,79.927889,805,51,06,43,17,2022,06,01
99,0,0,1,0,cas_ldw,12.620168,79.927159,805,62,06,43,23,2022,06,01
100,0,0,1,0,cas_ldw,12.615635,79.925932,805,58,06,43,39,2022,06,01
101,0,0,1,0,cas_ldw,12.613563,79.924807,805,58,06,43,52,2022,06,01
102,0,0,1,0,cas_ldw,12.611517,79.923634,805,58,06,44,16,2022,06,01
103,0,0,1,0,cas_ldw,12.605253,79.920768,805,58,06,44,57,2022,06,01
104,0,0,1,0,cas_ldw,12.600634,79.920036,805,58,06,45,32,2022,06,01
105,0,0,1,0,cas_ldw,12.593493,79.919307,805,58,06,46,15,2022,06,01
106,0,1,0,0,cas_hmw,12.586458,79.919519,805,58,06,46,41,2022,06,01
107,0,0,1,0,cas_ldw,12.573016,79.916544,805,58,06,47,58,2022,06,01
108,0,0,1,0,cas_ldw,12.566076,79.914688,805,57,06,48,53,2022,06,01
109,0,0,1,0,cas_ldw,12.558008,79.910184,805,51,06,49,54,2022,06,01
110,0,0,1,0,cas_ldw,12.558008,79.910184,805,51,06,50,07,2022,06,01
111,0,0,1,0,cas_ldw,12.556565,79.909357,805,38,06,50,28,2022,06,01
112,0,0,1,0,cas_ldw,12.554666,79.908276,805,61,06,50,50,2022,06,01
113,0,0,1,0,cas_ldw,12.543341,79.904965,805,58,06,51,55,2022,06,01
114,0,0,1,0,cas_ldw,12.541036,79.904535,805,58,06,52,14,2022,06,01
115,0,0,1,0,cas_ldw,12.538751,79.904113,805,53,06,52,20,2022,06,01
116,0,0,1,0,cas_ldw,12.538751,79.904113,805,53,06,52,27,2022,06,01
117,0,0,1,0,cas_ldw,12.534756,79.901778,805,58,06,52,58,2022,06,01
118,0,0,1,0,cas_ldw,12.530507,79.899774,805,58,06,53,22,2022,06,01
