,Lat,Long
0,12.887403,80.083412
1,12.892586,80.085794
2,12.894932,80.087564
3,12.898267,80.090062
4,12.901594,80.092538
5,12.903877,80.094272
6,12.906194,80.095953
7,12.915664,80.103135
8,12.918451,80.109058
9,12.919239,80.110028
10,12.923053,80.114106
11,12.92877,80.119872
12,12.932561,80.123647
13,12.936615,80.127451
14,12.957073,80.14356
15,12.87899,80.080324
16,12.873922,80.078184
17,12.86711,80.075508
18,12.855921,80.069229
19,12.852359,80.066607
20,12.849964,80.064909
21,12.845798,80.061731
22,12.980898,80.165679
23,12.980898,80.165679
24,12.841731,80.057609
25,12.831583,80.046907
26,12.822942,80.038928
27,12.992264,80.182428
28,12.820537,80.037237
29,12.818145,80.035529
30,12.815835,80.033858
31,12.814768,80.033094
32,12.803876,80.026072
33,12.803876,80.026072
34,12.801438,80.02447
35,12.800221,80.023653
36,12.797784,80.022085
37,12.796555,80.021272
38,12.795046,80.020296
39,12.793592,80.019323
40,12.790001,80.017028
41,12.781964,80.012667
42,12.779812,80.01172
43,12.777725,80.010838
44,13.010352,80.215922
45,13.010352,80.215922
46,12.770133,80.007326
47,13.012897,80.221989
48,12.766036,80.005408
49,12.763868,80.004497
50,12.757137,80.002432
51,12.753059,80.000121
52,12.751096,79.998814
53,12.749247,79.997342
54,12.74555,79.994405
55,12.74555,79.994405
56,12.741998,79.991535
57,13.024305,80.228471
58,12.724588,79.982251
59,12.722392,79.981537
60,13.031173,80.239814
61,12.711256,79.978734
62,12.709089,79.977492
63,12.709089,79.977492
64,12.705469,79.97456
65,12.701326,79.969416
66,13.039036,80.246748
67,12.697469,79.9672
68,12.697469,79.9672
69,12.693691,79.965188
70,13.042432,80.247439
71,12.685681,79.959317
72,12.684891,79.959075
73,12.684891,79.959075
74,13.053062,80.251879
75,12.682063,79.958519
76,12.677238,79.958585
77,12.672678,79.958665
78,13.060628,80.25437
79,13.061608,80.254414
80,13.061608,80.254414
81,12.668296,79.958761
82,12.668296,79.958761
83,12.664172,79.960529
84,12.661947,79.961164
85,12.658153,79.95926
86,12.655738,79.952993
87,12.656157,79.950818
88,12.657324,79.946719
89,12.657324,79.946719
90,12.656077,79.941901
91,12.653916,79.942239
92,12.651766,79.941969
93,12.630791,79.931575
94,12.630791,79.931575
95,12.628494,79.930584
96,12.624184,79.928729
97,12.624184,79.928729
98,12.622224,79.927889
99,12.620168,79.927159
100,12.615635,79.925932
101,12.613563,79.924807
102,12.611517,79.923634
103,12.605253,79.920768
104,12.600634,79.920036
105,12.593493,79.919307
106,12.586458,79.919519
107,12.573016,79.916544
108,12.566076,79.914688
109,12.558008,79.910184
110,12.558008,79.910184
111,12.556565,79.909357
112,12.554666,79.908276
113,12.543341,79.904965
114,12.541036,79.904535
115,12.538751,79.904113
116,12.538751,79.904113
117,12.534756,79.901778
118,12.530507,79.899774
119,12.526309,79.897648
120,12.524034,79.896632
121,12.517021,79.890442
122,12.509666,79.884816
123,12.509666,79.884816
124,12.516883,79.887983
125,12.518274,79.89167
126,12.519849,79.893262
127,12.519849,79.893262
128,12.525591,79.897179
129,12.531729,79.90024
130,12.533717,79.901075
131,12.535888,79.902284
132,12.535888,79.902284
133,13.071684,80.259156
134,12.543551,79.904835
135,13.073034,80.261821
136,12.544251,79.904965
137,12.546179,79.905313
138,12.554801,79.908159
139,12.559018,79.910573
140,13.068967,80.267456
141,12.563206,79.91303
142,12.569897,79.915546
143,12.572158,79.916154
144,12.574589,79.916705
145,13.066903,80.273656
146,12.576887,79.917167
147,12.588822,79.919274
148,13.062345,80.274259
149,12.593799,79.919159
150,12.593799,79.919159
151,13.061044,80.274416
152,12.605689,79.920737
153,12.60793,79.921399
154,12.60793,79.921399
155,12.610107,79.922633
156,12.614301,79.925073
157,13.056923,80.273946
158,12.614301,79.925073
159,12.616414,79.926094
160,12.618631,79.926673
161,12.621043,79.927266
162,12.625384,79.929079
163,12.625384,79.929079
164,12.627557,79.930026
165,12.631252,79.93158
166,12.633258,79.932462
167,12.635534,79.933484
168,12.637539,79.934687
169,12.641655,79.937271
170,12.653916,79.940029
171,12.657813,79.941476
172,12.656141,79.951721
173,13.05436,80.258608
174,13.054712,80.254456
175,13.053204,80.252145
176,13.049029,80.249786
177,12.66477,79.968914
178,12.666115,79.970296
179,13.040589,80.24727
180,13.03978,80.247116
181,12.667518,79.972042
182,13.03978,80.247116
183,13.036987,80.246466
184,13.034943,80.245836
185,13.026211,80.232366
186,13.02456,80.22893
187,13.023507,80.227613
188,13.022054,80.226318
189,13.021284,80.225772
190,13.012879,80.226848
191,13.009793,80.226996
192,13.011305,80.223556
193,13.011501,80.223093
194,12.696756,79.976834
195,12.697349,79.976465
196,12.697702,79.976182
197,13.010958,80.217332
198,12.697172,79.972959
199,13.010101,80.214912
200,13.009668,80.2136
201,13.009668,80.2136
202,12.697174,79.97278
203,12.697246,79.972323
204,13.008908,80.211645
205,12.697522,79.971618
206,12.703252,79.971392
207,12.703252,79.971392
208,13.003073,80.200804
209,13.000922,80.195361
210,12.706974,79.975984
211,12.71422,79.98012
212,12.729431,79.98269
213,12.989675,80.179192
214,12.729431,79.98269
215,12.729431,79.98269
216,12.98962,80.17912
217,12.986855,80.175451
218,12.986855,80.175451
219,12.986572,80.175039
220,12.734727,79.985256
221,12.986581,80.175037
222,12.734727,79.985256
223,12.734727,79.985256
224,12.985944,80.174062
225,12.985944,80.174062
226,12.985184,80.172958
227,12.744173,79.993056
228,12.745215,79.993895
229,12.980644,80.165306
230,12.748661,79.996718
231,12.972456,80.151849
232,12.972404,80.151786
233,12.966983,80.148989
234,12.96606,80.148542
235,12.780423,80.011834
236,12.955655,80.142948
237,12.793861,80.019282
238,12.795164,80.020115
239,12.954831,80.142517
240,12.953242,80.141675
241,12.796396,80.020924
242,12.953242,80.141675
243,12.951464,80.140379
244,12.947855,80.137546
245,12.807471,80.028184
246,12.947855,80.137546
247,12.8219,80.037912
248,12.824217,80.039564
249,12.826686,80.041408
250,12.93565,80.126782
251,12.934934,80.126131
252,12.934045,80.125261
253,12.930063,80.121326
254,12.836011,80.051273
255,12.837029,80.052345
256,12.926884,80.118105
257,12.926884,80.118105
258,12.841825,80.057242
259,12.926447,80.117631
260,12.925127,80.116272
261,12.920216,80.111283
262,12.917444,80.10787
263,12.910552,80.101074
264,12.910552,80.101074
265,12.856616,80.069507
266,12.906203,80.096338
267,12.90601,80.096193
268,12.905251,80.095648
269,12.865479,80.074644
270,12.904063,80.094763
271,12.866991,80.075232
272,12.869731,80.076324
273,12.869731,80.076324
274,12.900835,80.092213
275,12.899776,80.091433
276,13.006265,80.127376
277,12.886148,80.083047
278,12.999845,80.12545
279,12.984884,80.120986
280,12.980213,80.120703
281,12.975876,80.11964
282,12.877598,80.084304
283,12.878192,80.082679
284,12.878192,80.082679
285,12.878592,80.081554
286,12.864632,80.074536
287,12.883423,80.081633
288,12.888186,80.072965
289,12.899835,80.070503
290,12.903626,80.071327
291,12.916262,80.075306
292,12.91892,80.076137
293,12.921342,80.076843
294,12.924206,80.077729
295,12.93394,80.081321
296,12.943832,80.084967
297,12.947817,80.086464
298,12.950664,80.087538
299,12.955171,80.089269
300,12.966529,80.090406
301,12.853269,80.066929
302,12.854437,80.0679
303,12.866663,80.07517
304,12.884343,80.082014
305,12.878925,80.080781
306,12.875752,80.083842
307,12.878074,80.083032
308,12.878899,80.080271
309,12.875727,80.078974
310,12.873168,80.077852
311,12.864328,80.07445
312,12.859471,80.07196
313,12.859471,80.07196
314,12.858672,80.071359
315,12.856501,80.069621
316,12.855349,80.068764
317,12.854186,80.067912
318,12.850645,80.06538
319,12.850645,80.06538
320,12.84065,80.056479
321,12.840297,80.056058
322,12.839004,80.054618
323,12.837355,80.052884
324,12.832443,80.047778
325,12.830615,80.045825
326,12.829548,80.044676
327,12.827912,80.043004
328,12.821134,80.037588
329,12.821134,80.037588
330,12.819882,80.036703
331,12.806352,80.027635
332,12.80241,80.025049
333,12.798124,80.022267
334,12.798124,80.022267
335,12.798124,80.022267
336,12.785177,80.014144
337,12.778881,80.011305
338,12.778881,80.011305
339,12.757106,80.002442
340,12.749089,79.997278
341,12.749089,79.997278
342,12.747127,79.995694
343,12.742694,79.992134
344,12.723498,79.981837
345,12.721416,79.981373
346,12.71589,79.980717
347,12.704411,79.973162
348,12.703771,79.972302
349,12.703024,79.971372
350,12.702188,79.970316
351,12.702188,79.970316
352,12.69758,79.975137
353,12.694532,79.978446
354,12.693963,79.979027
355,12.691746,79.980376
356,12.691414,79.980685
357,12.684107,79.983364
358,12.681486,79.981856
359,12.680532,79.981268
360,12.680532,79.981268
361,12.678134,79.979764
362,12.672862,79.976434
363,12.672862,79.976434
364,12.66334,79.968081
365,12.659546,79.963548
366,12.657156,79.957148
367,12.656529,79.955378
368,12.653173,79.942308
369,12.649416,79.941202
370,12.647325,79.940521
371,12.635872,79.933815
372,12.630513,79.93147
373,12.628899,79.930716
374,12.624906,79.928999
375,12.620676,79.927323
376,12.618543,79.926772
377,12.616413,79.926202
378,12.614432,79.925271
379,12.614432,79.925271
380,12.612638,79.924241
381,12.610842,79.923215
382,12.609115,79.922207
383,12.607986,79.92155
384,12.60606,79.920885
385,12.60171,79.920147
386,12.599377,79.919906
387,12.59004,79.919344
388,12.59004,79.919344
389,12.580941,79.918765
390,12.578793,79.917837
391,12.578793,79.917837
392,12.576391,79.917196
393,12.576391,79.917196
394,12.571883,79.916218
395,12.551896,79.907017
396,12.549708,79.906166
397,12.544951,79.905251
398,12.542846,79.904844
399,12.531385,79.900272
400,12.531385,79.900272
401,12.528537,79.898806
402,12.528537,79.898806
403,12.514417,79.888285
404,12.510567,79.88506
405,12.506524,79.880657
406,12.506056,79.88016
407,12.504652,79.879036
408,12.497942,79.873611
409,12.496295,79.872113
410,12.498964,79.874267
411,12.500551,79.875565
412,12.50405,79.87834
413,12.50405,79.87834
414,12.515652,79.88697
415,12.515652,79.88697
416,12.522698,79.895862
417,12.52697,79.897829
